Aircraft Type,Cause Category,Weather,Flight Phase,Damage Level,Event Count
Cessna A185F,General,VMC,Takeoff,Substantial,42
Cessna 172M,General,VMC,Cruise,Substantial,42
Luscombe 8,Human Error,VMC,Unknown,Substantial,42
Hughes 369D,General,VMC,Cruise,Substantial,41
Cessna 206,General,VMC,Takeoff,Substantial,41
Cessna 210,Human Error,VMC,Unknown,Substantial,41
Cessna 150M,General,VMC,Approach,Substantial,41
Piper PA-12,General,VMC,Takeoff,Substantial,41
Piper PA-28-161,Human Error,VMC,Unknown,Substantial,41
Piper PA-32-300,General,VMC,Cruise,Substantial,40
Piper PA-22,General,VMC,Takeoff,Substantial,40
Boeing 777,Unknown,UNK,Unknown,Unknown,40
Cessna 172N,General,VMC,Taxi,Substantial,40
Cessna 152,General,VMC,Takeoff,Destroyed,40
Piper PA-28-161,General,VMC,Approach,Substantial,40
Cessna 172M,General,VMC,Approach,Substantial,40
Grumman G-164A,General,VMC,Landing,Substantial,39
Beech A36,General,VMC,Takeoff,Substantial,39
Champion 7ECA,General,VMC,Landing,Substantial,39
Grumman G-164,General,VMC,Maneuvering,Substantial,39
Cessna 150G,General,VMC,Landing,Substantial,39
Piper PA-22-150,Human Error,VMC,Unknown,Substantial,39
Bellanca 8GCBC,General,VMC,Landing,Substantial,39
Aeronca 7AC,General,VMC,Takeoff,Substantial,39
Piper PA-30,General,VMC,Landing,Substantial,39
De.Havilland DHC-2,General,VMC,Takeoff,Substantial,38
Cessna 150,General,VMC,Maneuvering,Substantial,38
Mooney M20J,General,VMC,Landing,Substantial,38
Piper PA-18-150,General,VMC,Maneuvering,Substantial,38
Piper PA-28-180,General,VMC,Approach,Substantial,38
Cessna 150J,General,VMC,Cruise,Substantial,38
Piper PA-24-250,General,VMC,Approach,Substantial,38
Cessna 120,General,VMC,Landing,Substantial,38
Grumman G-164B,General,VMC,Takeoff,Substantial,38
Cessna 172RG,Human Error,VMC,Unknown,Substantial,37
Cessna 172N,General,IMC,Cruise,Destroyed,37
Piper PA-34-200,General,VMC,Landing,Substantial,37
Cessna T210N,General,VMC,Landing,Substantial,37
Air.Tractor AT-301,General,VMC,Takeoff,Substantial,37
Cessna 150M,General,VMC,Maneuvering,Substantial,37
Piper PA-28-161,General,VMC,Cruise,Substantial,37
Piper J3C-65,Human Error,VMC,Unknown,Substantial,36
Bell 206,Human Error,VMC,Unknown,Substantial,36
Robinson R-22,General,VMC,Maneuvering,Substantial,36
Bell 206B,General,VMC,Maneuvering,Destroyed,36
Cessna 150M,Human Error,VMC,Unknown,Substantial,36
Piper PA-28,General,VMC,Landing,Substantial,36
Cessna 172L,General,VMC,Landing,Substantial,36
Robinson R22,Human Error,VMC,Unknown,Substantial,36
Robinson R44,Unknown,UNK,Unknown,Destroyed,36
Cessna 150J,General,VMC,Takeoff,Substantial,36
Cessna 150F,General,VMC,Takeoff,Substantial,35
Cessna 182A,General,VMC,Approach,Substantial,35
Cessna 172N,General,VMC,Go_around,Substantial,35
Robinson R-22,General,VMC,Landing,Substantial,35
Cessna 150G,General,VMC,Cruise,Substantial,35
Stinson 108,Human Error,VMC,Unknown,Substantial,35
Piper PA-23-250,General,VMC,Landing,Substantial,35
Hughes 269C,General,VMC,Maneuvering,Substantial,34
Cessna 172M,General,VMC,Go_around,Substantial,34
Cessna 172H,General,VMC,Landing,Substantial,34
Cessna 172P,General,VMC,Cruise,Substantial,34
Piper PA-18,Human Error,VMC,Unknown,Substantial,34
Piper PA-31-350,General,VMC,Landing,Substantial,34
Cessna 180,General,VMC,Approach,Substantial,34
Bellanca 7GCBC,Human Error,VMC,Unknown,Substantial,34
Cessna 182Q,Human Error,VMC,Unknown,Substantial,34
Piper PA-18,General,VMC,Approach,Substantial,34
Piper PA-28-181,General,VMC,Approach,Substantial,34
Piper PA 12,Human Error,VMC,Unknown,Substantial,34
Piper J3C-65,General,VMC,Takeoff,Substantial,34
Grumman G-164B,General,VMC,Maneuvering,Destroyed,33
Rockwell S-2R,General,VMC,Maneuvering,Substantial,33
Piper PA-18-150,General,VMC,Cruise,Substantial,33
Piper PA-38-112,General,VMC,Cruise,Substantial,33
Cessna 170,General,VMC,Landing,Substantial,33
Cessna 172N,General,VMC,Maneuvering,Substantial,33
Luscombe 8A,Human Error,VMC,Unknown,Substantial,33
