Aircraft Type,Cause Category,Weather,Flight Phase,Damage Level,Event Count
Piper PA-24-260,General,VMC,Standing,Unknown,1
Piper PA-24-260,General,VMC,Maneuvering,Substantial,1
Short.Brothers SD3-60,General,UNK,Unknown,Destroyed,1
Short.Brothers SD3-60,General,VMC,Approach,Minor,1
Short.Brothers SD3-60,General,VMC,Approach,Unknown,1
Short.Brothers SD3-60,General,VMC,Cruise,Unknown,1
Short.Brothers SD3-60,General,VMC,Landing,Minor,1
Piper PA-24-260,General,VMC,Landing,Destroyed,1
Piper PA-24-260,General,VMC,Descent,Destroyed,1
Short.Brothers SD3-60-200,General,VMC,Cruise,Unknown,1
Short.Brothers SD3-60-200,General,VMC,Takeoff,Unknown,1
Piper PA-24-260,General,VMC,Climb,Destroyed,1
Short.Brothers SD3-60-200,General,VMC,Taxi,Substantial,1
Short.Brothers SD360,General,VMC,Takeoff,Unknown,1
Short.Brothers SH-7,General,VMC,Landing,Substantial,1
Short.Brothers SH-7,General,VMC,Takeoff,Minor,1
Short.Brothers Skyvan SC7,General,VMC,Unknown,Substantial,1
Piper PA-24-260,General,VMC,Taxi,Substantial,1
Short.Brothers SD 3-60,General,VMC,Cruise,Unknown,1
Short.Bros SHORTS SD3-60,Human Error,VMC,Unknown,Substantial,1
Short.Brothers SC7,General,VMC,Taxi,Substantial,1
Short.Bros. SC-7,General,VMC,Takeoff,Substantial,1
Short.Bros. SC7 SERIES 3,General,VMC,Approach,Minor,1
Piper PA-24-260C,General,VMC,Takeoff,Destroyed,1
Short.Bros..&.Harland SC7 SERIES,Human Error,VMC,Unknown,Substantial,1
Short.Bros..&.Harland SC7 SERIES 3,Human Error,VMC,Unknown,Substantial,1
Piper PA-24-260C,General,VMC,Landing,Substantial,1
Short.Bros..&.Harland SC7 SERIES 3,Unknown,UNK,Unknown,Unknown,1
Short.Bros..&.Harland SD3 30,Human Error,IMC,Unknown,Substantial,1
Short.Bros..&.Harland SHORTS SC7 SKYVAN,Human Error,VMC,Unknown,Minor,1
Piper PA-24-260C,General,VMC,Approach,Substantial,1
Short.Brothers SC-7,General,IMC,Maneuvering,Destroyed,1
Short.Brothers SC.7,General,VMC,Cruise,Substantial,1
Short.Brothers SC.7,General,VMC,Landing,Substantial,1
Piper PA-24-260B,Human Error,VMC,Unknown,Substantial,1
Piper PA-24-260B,General,VMC,Descent,Substantial,1
Short.Brothers SC7,General,VMC,Approach,Destroyed,1
Piper PA-24-260B,General,VMC,Cruise,Destroyed,1
Piper PA-24-260B,General,IMC,Takeoff,Substantial,1
Piper PA-24-260B,General,IMC,Cruise,Substantial,1
Short.Brothers SC7,General,VMC,Climb,Destroyed,1
Piper PA-24-260,Unknown,UNK,Unknown,Unknown,1
Piper PA-24-260,Unknown,IMC,Unknown,Destroyed,1
Short.Brothers SC7,General,VMC,Takeoff,Destroyed,1
Short.Brothers.&.Harland.Ltd. SC-7 SKYVAN S3,Unknown,UNK,Unknown,Minor,1
Short.Brothers.Plc S312 TUCANO T MK1,Human Error,VMC,Unknown,Destroyed,1
Shoup.Ronald.R RV-6A,Mechanical Failure,VMC,Unknown,Substantial,1
Piper PA-24-260,General,UNK,Cruise,Destroyed,1
Siai-Marchetti S.205 18R,Unknown,UNK,Unknown,Substantial,1
Piper PA-24-250,Unknown,UNK,Unknown,Destroyed,1
Siai-Marchetti S.205/22R,General,VMC,Climb,Substantial,1
Siai-Marchetti S.205/22R,General,VMC,Cruise,Substantial,1
Piper PA-24-250,Unknown,IMC,Unknown,Destroyed,1
Siai-Marchetti S.205/22R,General,VMC,Landing,Substantial,1
Siai-Marchetti S.205/22R,General,VMC,Takeoff,Substantial,1
Siai-Marchetti S.205/22R,Human Error,VMC,Unknown,Substantial,1
Siai-Marchetti S.205/22R,Mechanical Failure,VMC,Unknown,Substantial,1
Siai-Marchetti S205-22R,Mechanical Failure,VMC,Unknown,Substantial,1
Piper PA-24-250,Human Error,IMC,Unknown,Substantial,1
Piper PA-24-250,Human Error,IMC,Unknown,Destroyed,1
Siai-Marchetti SF 260,General,VMC,Takeoff,Substantial,1
Siai-Marchetti SF-260,Human Error,VMC,Unknown,Substantial,1
Siai-Marchetti SF-260C,Human Error,VMC,Unknown,Substantial,1
Siai-Marchetti SF.260,General,VMC,Cruise,Destroyed,1
Siai-Marchetti SF.260B,General,VMC,Maneuvering,Substantial,1
Siai-Marchetti SF.260TP,General,VMC,Takeoff,Substantial,1
Siai-Marchetti SF.260TP,Human Error,VMC,Unknown,Substantial,1
Siai-Marchetti SF260,General,VMC,Approach,Substantial,1
Siai-Marchetti SF260,Human Error,VMC,Unknown,Substantial,1
Siai-Marchetti SF260B,General,VMC,Cruise,Destroyed,1
Piper PA-24-250,General,VMC,Standing,Unknown,1
Piper PA-24-250,Unknown,VMC,Unknown,Destroyed,1
Piper PA-24-260,General,IMC,Climb,Destroyed,1
Siai-Marchetti L1019,General,VMC,Takeoff,Substantial,1
Siai-Marchetti F.260,General,VMC,Cruise,Substantial,1
Piper PA-24-260,General,UNK,Approach,Destroyed,1
Piper PA-24-260,General,IMC,Unknown,Destroyed,1
Showalter ROTORWAY 152,General,VMC,Cruise,Substantial,1
Piper PA-24-260,General,IMC,Takeoff,Substantial,1
Shpakow.Thomas SA 750,Human Error,VMC,Unknown,Substantial,1
Shuey GLASSAIRE,General,VMC,Landing,Substantial,1
Shultz.Jeffrey.D SONEX,Mechanical Failure,VMC,Unknown,Substantial,1
Shutt MARQUART MA-5,General,VMC,Approach,Substantial,1
Siai-Marchetti F-260,General,VMC,Maneuvering,Destroyed,1
Siai-Marchetti F-260-C,General,VMC,Approach,Substantial,1
Siai-Marchetti F.260,General,VMC,Maneuvering,Destroyed,1
Siai-Marchetti FN333,General,VMC,Taxi,Destroyed,1
Siai-Marchetti F.260,Mechanical Failure,VMC,Unknown,Substantial,1
Siai-Marchetti F.260C,General,VMC,Maneuvering,Destroyed,1
Piper PA-24-260,General,IMC,Landing,Substantial,1
Piper PA-24-260,General,IMC,Go_around,Destroyed,1
Siai-Marchetti F.260C,General,VMC,Maneuvering,Substantial,1
Siai-Marchetti F206C,General,VMC,Landing,Substantial,1
Siai-Marchetti F260B,General,VMC,Takeoff,Substantial,1
Siai-Marchetti FN-333,General,VMC,Cruise,Destroyed,1
Siai-Marchetti FN-333,General,VMC,Cruise,Substantial,1
Piper PA-24-260,General,IMC,Cruise,Substantial,1
Short.Bros. SC-7,General,VMC,Landing,Substantial,1
Short.Bros SHORTS SD3 60,Unknown,UNK,Unknown,Destroyed,1
Shannon.James.A.Jr AVIAT EAGLE II,Unknown,UNK,Unknown,Substantial,1
Piper PA-25-235,General,UNK,Unknown,Destroyed,1
Piper PA-25-235,General,IMC,Maneuvering,Destroyed,1
Piper PA-25-235,General,IMC,Cruise,Substantial,1
Piper PA-25-23-5B,General,VMC,Climb,Substantial,1
Shear Titan Tornado,General,VMC,Maneuvering,Substantial,1
Sheats FALCON-XP,General,VMC,Takeoff,Substantial,1
Piper PA-25-225,General,VMC,Maneuvering,Substantial,1
Sheel Vans RV-8,General,VMC,Takeoff,Substantial,1
Piper PA-25-180,General,VMC,Takeoff,Substantial,1
Piper PA-25-180,General,VMC,Standing,Substantial,1
Sheely RANS S-12XL,General,VMC,Takeoff,Substantial,1
Sheets KITFOX II,General,VMC,Takeoff,Destroyed,1
Piper PA-25-180,General,VMC,Climb,Substantial,1
Sheldrick.John.H RV-6,Human Error,VMC,Unknown,Substantial,1
Shell.John SUPER SIX,Mechanical Failure,VMC,Unknown,Substantial,1
Shelton.Joseph.G S-7,Human Error,VMC,Unknown,Substantial,1
Shempp-Hirth Discuss B,General,VMC,Maneuvering,Minor,1
Shepard Lancair Propjet,General,IMC,Climb,Destroyed,1
Shepard.Jimmy.D.Jr PITTS S1D,Human Error,VMC,Unknown,Substantial,1
Shepherd Kolb Mark III,General,VMC,Takeoff,Substantial,1
Piper PA-25-151,General,VMC,Takeoff,Substantial,1
Sheppard Kitfox IV,General,VMC,Landing,Substantial,1
Sheppard S-2,General,VMC,Climb,Substantial,1
Sherman EXECUTIVE,General,VMC,Maneuvering,Destroyed,1
Piper PA-25-235,General,IMC,Maneuvering,Substantial,1
Sheahen.Dane.E RV-8,Human Error,VMC,Unknown,Substantial,1
Short.Bros SD3-60,Unknown,UNK,Unknown,Substantial,1
Piper PA-25-235,General,VMC,Climb,Destroyed,1
Shannon.Kevin RV-8,Human Error,VMC,Unknown,Destroyed,1
Shannon.William RV6A,Human Error,VMC,Unknown,Substantial,1
Piper PA-25-235,General,VMC,Unknown,Destroyed,1
Piper PA-25-235,General,VMC,Taxi,Substantial,1
Shapley QUICKIE Q-200,General,VMC,Landing,Substantial,1
Shapowal Rotorway Exec 90,General,VMC,Landing,Substantial,1
Piper PA-25-235,General,VMC,Standing,Substantial,1
Shark BI-PLANE,General,VMC,Cruise,Substantial,1
Sharp Corben Baby Ace D,General,VMC,Cruise,Substantial,1
Sharp FOX MODEL 1,General,VMC,Approach,Substantial,1
Sharp SCORPION TOO,General,VMC,Cruise,Destroyed,1
Piper PA-25-235,General,VMC,Landing,Unknown,1
Sharp.Ralph.R ZENITH STOL CH 701,Unknown,UNK,Unknown,Substantial,1
Sharpe.William.L BUCCANEER II B,Human Error,VMC,Unknown,Substantial,1
Shaub EAA Biplane (P-2),General,VMC,Landing,Substantial,1
Piper PA-25-235,General,VMC,Go_around,Destroyed,1
Shaw Atlantica 235FG,General,VMC,Takeoff,Substantial,1
Shaw Europa XS,General,VMC,Approach,Substantial,1
Shaw FISHER FP 404,Human Error,VMC,Unknown,Substantial,1
Shaw VELOCITY HXB,General,VMC,Cruise,Substantial,1
Shaw.Douglas.Wayne RANS S 7,Human Error,VMC,Unknown,Substantial,1
Shea PITTS SPECIAL S-1C,Human Error,VMC,Unknown,Substantial,1
Shea Vans RV6A,General,VMC,Landing,Substantial,1
Sherman.Craig.W GLASAIR III,Human Error,VMC,Unknown,Substantial,1
Sherman.Holie Freebird,General,VMC,Takeoff,Substantial,1
"Sherman.John,.H Nieuport II",General,VMC,Landing,Substantial,1
Sherman.Powell KITFOX IV,General,VMC,Takeoff,Substantial,1
Piper PA-25,General,IMC,Cruise,Substantial,1
Piper PA-24B-260,General,IMC,Cruise,Destroyed,1
Piper PA-24-400,Unknown,UNK,Unknown,Substantial,1
Shook Rans S-12,General,VMC,Landing,Substantial,1
Piper PA-24-400,General,VMC,Takeoff,Substantial,1
Shook Rans S-12,Human Error,VMC,Unknown,Substantial,1
Piper PA-24-400,General,VMC,Go_around,Substantial,1
Shorethose Kitfox Series 5,General,VMC,Landing,Substantial,1
Piper PA-24-400,General,VMC,Cruise,Destroyed,1
Piper PA-24-400,General,VMC,Climb,Destroyed,1
Piper PA-24-400,General,UNK,Cruise,Destroyed,1
Piper PA-24-400,General,IMC,Cruise,Substantial,1
Piper PA-24-260C,Human Error,VMC,Unknown,Substantial,1
Shorey.Timothy.A PRECEPTOR STOL KING,Mechanical Failure,VMC,Unknown,Substantial,1
Piper PA-24-260C,General,VMC,Unknown,Substantial,1
Short LANCAIR 320,General,VMC,Landing,Substantial,1
Short SC7,Unknown,UNK,Unknown,Destroyed,1
Short SD3-30 200,General,VMC,Other,Substantial,1
Short.Bros SD 360-300,Other,VMC,Unknown,Substantial,1
Short.Bros SD-360-300,Human Error,VMC,Unknown,Substantial,1
Short.Bros SD3 60,Human Error,VMC,Unknown,Substantial,1
Piper PA-24-260C,General,VMC,Takeoff,Substantial,1
Short.Bros SD3 60 SHERPA,Human Error,VMC,Unknown,Minor,1
Shoemaker.James.B KR-2,Human Error,VMC,Unknown,Substantial,1
Piper PA-25,General,VMC,Climb,Destroyed,1
Piper PA-25,General,VMC,Climb,Substantial,1
Piper PA-25,Unknown,VMC,Unknown,Destroyed,1
Piper PA-25-150,General,VMC,Descent,Substantial,1
Shewmaker BD5,General,VMC,Approach,Destroyed,1
Shilt.Jerry.C F-1 ROCKET,Human Error,VMC,Unknown,Substantial,1
Shimer One Design,General,VMC,Landing,Substantial,1
Shindler SPECIAL GREAT LAKES,General,VMC,Cruise,Substantial,1
Shindler-Smiley THE BLUE MAX,General,VMC,Cruise,Substantial,1
Shiner PITTS S-1S,General,VMC,Landing,Substantial,1
Piper PA-25-150,General,IMC,Unknown,Substantial,1
Piper PA-25,Unknown,VMC,Unknown,Substantial,1
Shiner RV-4,Human Error,VMC,Unknown,Substantial,1
Piper PA-25,Unknown,UNK,Unknown,Substantial,1
Piper PA-25,General,VMC,Landing,Minor,1
Piper PA-25,Human Error,VMC,Unknown,Substantial,1
Piper PA-25,General,VMC,Taxi,Substantial,1
Shirey.David.A FISHER CELEBRITY,Unknown,VMC,Unknown,Destroyed,1
Shirlan.Dickey E-RACER,General,VMC,Cruise,Substantial,1
Shirley.Carl SPORTCOPTER VORTEX,Human Error,VMC,Unknown,Destroyed,1
Shiver TAILWIND W-10,Human Error,VMC,Unknown,Substantial,1
Piper PA-25,General,VMC,Other,Destroyed,1
Shniderman.Ervin.Stanley LONG-EZ,Mechanical Failure,VMC,Unknown,Substantial,1
Shoaf CHRISTEN EAGLE II,General,VMC,Maneuvering,Destroyed,1
Shoemaker S-12 AERAILE,General,VMC,Approach,Substantial,1
Schweizer SGS-1-35C,General,VMC,Landing,Destroyed,1
Piper PA-28-140,Unknown,IMC,Unknown,Destroyed,1
Siai-Marchetti SM,Human Error,VMC,Unknown,Substantial,1
Schreder HP-18,General,VMC,Takeoff,Substantial,1
Piper PA-28-180,General,IMC,Takeoff,Substantial,1
Schreder RS-15,General,VMC,Approach,Substantial,1
Piper PA-28-180,General,IMC,Maneuvering,Substantial,1
Schreder RS-15,General,VMC,Maneuvering,Destroyed,1
Piper PA-28-180,General,IMC,Go_around,Substantial,1
Schreder RS-15,General,VMC,Takeoff,Substantial,1
Schreiber-Stitts SA-3B,General,VMC,Takeoff,Substantial,1
Schrieber.Robert.L P 70,Human Error,VMC,Unknown,Substantial,1
Schroder.David LANCAIR IV P,Mechanical Failure,VMC,Unknown,Unknown,1
Schroeder Wichawk,General,VMC,Takeoff,Substantial,1
Piper PA-28-180,General,IMC,Descent,Substantial,1
Piper PA-28-180,General,IMC,Descent,Destroyed,1
Schubert CASSUTT SPORT,General,VMC,Cruise,Destroyed,1
Schuchart Stoddard HamiltonSH3,General,VMC,Approach,Destroyed,1
Schuetz.Miniplane DSA-1,General,VMC,Maneuvering,Substantial,1
Schuler T BIRD II,General,VMC,Takeoff,Substantial,1
Schulke Avid Magnum,Human Error,VMC,Unknown,Substantial,1
Schulman Mosquito XEL,Human Error,VMC,Unknown,Substantial,1
Piper PA-28-180,General,IMC,Climb,Substantial,1
Schultz AVID FLYER 502,General,VMC,Approach,Substantial,1
Schultz Lancair IV-P,General,VMC,Approach,Substantial,1
Schultz Mini 500,Human Error,VMC,Unknown,Substantial,1
Schultz/Bowers FLY BABY 1A,General,VMC,Descent,Destroyed,1
Schreder HP12A,General,VMC,Takeoff,Substantial,1
Piper PA-28-180,General,IMC,Unknown,Destroyed,1
Schulze Lancair 360,General,VMC,Takeoff,Destroyed,1
Schreder HP-11A,General,VMC,Landing,Substantial,1
Schmitt Just Acft Highlander,Unknown,VMC,Unknown,Substantial,1
Schmitt.(Rotorway) Exec 162F,General,VMC,Takeoff,Substantial,1
Schneider Christen Eagle II,Human Error,VMC,Unknown,Substantial,1
"Schneider,.Edmund,.Pty. Starduster SA300",General,VMC,Takeoff,Substantial,1
Schneider.John.W PT-2A,Human Error,VMC,Unknown,Substantial,1
Schneider.K/Cook.C SC SKYBOLT,Human Error,VMC,Unknown,Substantial,1
Piper PA-28-180,General,UNK,Unknown,Destroyed,1
Schneider.Richard.J ALASKAN BUSHMASTER,Human Error,VMC,Unknown,Substantial,1
Piper PA-28-180,General,UNK,Takeoff,Destroyed,1
Schneider/Brashear SORRELL SNS-7,General,VMC,Landing,Substantial,1
Schneidhorst Slingshot,General,VMC,Takeoff,Substantial,1
Schnitz FIIC-2 Goshawk,General,VMC,Takeoff,Destroyed,1
Piper PA-28-180,General,UNK,Landing,Substantial,1
Schoepflin DA-4-550,Human Error,VMC,Unknown,Substantial,1
Schooley Sonex,Human Error,VMC,Unknown,Substantial,1
Schoonover.John.D KIT FOX IV 1200,Human Error,VMC,Unknown,Substantial,1
Schosanski.John.H COZY MK IV R,Mechanical Failure,VMC,Unknown,Substantial,1
Schrack STARDUSTER TOO,General,VMC,Landing,Substantial,1
Schrack Starduster Too,General,VMC,Takeoff,Destroyed,1
"Schrader,.Edward A",General,VMC,Descent,Substantial,1
Schramm HELICYCLE,General,VMC,Maneuvering,Substantial,1
Schramm Helicycle,General,VMC,Maneuvering,Destroyed,1
Schreder HP-11-A,General,VMC,Maneuvering,Substantial,1
Piper PA-28-161,Weather-Related,VMC,Unknown,Substantial,1
Schumacher CHALLENGER II,Human Error,VMC,Unknown,Substantial,1
Schweizer SGS-1-35,General,VMC,Takeoff,Substantial,1
Schweizer 1-36,General,VMC,Approach,Substantial,1
Schweizer 1-36,General,VMC,Maneuvering,Substantial,1
Schweizer 126-D,General,VMC,Approach,Substantial,1
Piper PA-28-161,Mechanical Failure,VMC,Unknown,Minor,1
Schweizer 134,General,VMC,Approach,Substantial,1
Schweizer 2-22EK,General,VMC,Takeoff,Substantial,1
Schweizer 2-32,General,IMC,Maneuvering,Substantial,1
Schweizer 2-32,General,VMC,Cruise,Substantial,1
Schweizer 2-32,General,VMC,Landing,Substantial,1
Schweizer 2-32,General,VMC,Maneuvering,Substantial,1
Schweizer 2-33,General,VMC,Climb,Destroyed,1
Piper PA-28-161,Mechanical Failure,IMC,Unknown,Substantial,1
Piper PA-28-161,Maintenance Issue,VMC,Unknown,Substantial,1
Schweizer 2-33A,General,VMC,Approach,Destroyed,1
Schweizer 2-33A,General,VMC,Approach,Substantial,1
Schweizer 2-33A,General,VMC,Landing,Minor,1
Schweizer 2-33A,Human Error,VMC,Unknown,Substantial,1
Schweizer 232,General,VMC,Cruise,Destroyed,1
Schweizer 233A,General,VMC,Landing,Substantial,1
Piper PA-28-161,Human Error,VMC,Unknown,Minor,1
Schweizer 269,General,VMC,Unknown,Destroyed,1
Schweizer 269 C-1,Human Error,VMC,Unknown,Destroyed,1
Piper PA-28-161,Human Error,IMC,Unknown,Destroyed,1
Schweizer 269-C1,General,VMC,Standing,Substantial,1
Schweizer 1-36,General,VMC,Cruise,Substantial,1
Schweizer 1-35C,General,VMC,Takeoff,Substantial,1
Schumacher Lancair Super ES,Human Error,IMC,Unknown,Destroyed,1
Schweizer 1-35C,General,VMC,Maneuvering,Destroyed,1
Schumacher SWEARINGEN SX-300,General,VMC,Approach,Substantial,1
Piper PA-28-161,Unknown,VMC,Unknown,Destroyed,1
Schumacher SWEARINGEN SX-300,General,VMC,Go_around,Substantial,1
Schumann KR-2,General,VMC,Landing,Destroyed,1
Schuning/Teratorn TERRA II,General,VMC,Go_around,Destroyed,1
Schupp.Edward.W SKY RANGER II,Human Error,VMC,Unknown,Substantial,1
Schutte Ms. Ryan Special,General,VMC,Unknown,Destroyed,1
Schwartz BUSHBY MM-1,General,VMC,Maneuvering,Destroyed,1
Schwarz AVID AMPHIBIAN,General,VMC,Takeoff,Substantial,1
Schwarz RV-6A,General,VMC,Approach,Destroyed,1
Schwarz ZODIAC CH 601,General,VMC,Approach,Destroyed,1
Schwarzler KOLB MARK 3,General,VMC,Landing,Substantial,1
Schweitzer 136,General,VMC,Maneuvering,Substantial,1
Schweitzer MUSTANG II,General,VMC,Landing,Substantial,1
Piper PA-28-161,Unknown,UNK,Unknown,Destroyed,1
Schweizer -269C,General,VMC,Unknown,Substantial,1
Schweizer 1-23,General,VMC,Landing,Substantial,1
Schweizer 1-24,General,VMC,Landing,Substantial,1
Schweizer 1-26,General,VMC,Maneuvering,Substantial,1
Schweizer 1-26B,General,VMC,Approach,Substantial,1
Schweizer 1-26B,General,VMC,Landing,Substantial,1
Schweizer 1-26D,General,VMC,Landing,Substantial,1
Schweizer 1-35,General,VMC,Approach,Substantial,1
Schmidt.Randall.M BUSHBY MUSTANG II,Unknown,VMC,Unknown,Substantial,1
Schmidt.Donald.L GS1 GLASTAR,Human Error,VMC,Unknown,Substantial,1
Schmidt.Albert.D AVENTURA II,Human Error,VMC,Unknown,Substantial,1
Schleicher ASW-19B,General,VMC,Descent,Substantial,1
Schleicher ASW-19B,General,VMC,Maneuvering,Substantial,1
Schleicher ASW-19B,Human Error,VMC,Unknown,Substantial,1
Piper PA-28-180,Unknown,VMC,Unknown,Unknown,1
Schleicher ASW-19B,Unknown,VMC,Unknown,Substantial,1
Schleicher ASW-20,General,VMC,Approach,Destroyed,1
Schleicher ASW-20,General,VMC,Climb,Substantial,1
Piper PA-28-180,Unknown,UNK,Unknown,Unknown,1
Schleicher ASW-20,General,VMC,Cruise,Destroyed,1
Schleicher ASW-20,General,VMC,Maneuvering,Destroyed,1
Schleicher ASW-20,General,VMC,Maneuvering,Minor,1
Schleicher ASW-20,General,VMC,Maneuvering,Substantial,1
Piper PA-28-180,Unknown,UNK,Unknown,Destroyed,1
Schleicher ASW-20,Unknown,UNK,Unknown,Substantial,1
Schleicher ASW-20B,General,VMC,Approach,Substantial,1
Schleicher ASW-20B,General,VMC,Takeoff,Substantial,1
Schleicher ASW-20BL,General,VMC,Approach,Substantial,1
Schleicher ASW-20BL,General,VMC,Descent,Substantial,1
Schleicher ASW-20C,General,VMC,Cruise,Substantial,1
Schleicher ASW-20C,Human Error,VMC,Unknown,Substantial,1
Schleicher ASW-20L,General,VMC,Climb,Substantial,1
Schleicher ASW-20L,General,VMC,Landing,Substantial,1
Piper PA-28-180,Mechanical Failure,VMC,Unknown,Destroyed,1
Schleicher ASW-22,General,VMC,Takeoff,Substantial,1
Piper PA-28-180C,General,VMC,Standing,Unknown,1
Schleicher ASW-19B,General,VMC,Approach,Destroyed,1
Schmidt Zodiac 601 XL,General,VMC,Climb,Destroyed,1
Piper PA-28-180C,General,VMC,Takeoff,Destroyed,1
Schleicher ASW 27,General,VMC,Approach,Substantial,1
Schleicher ASW 27,Human Error,UNK,Unknown,Substantial,1
Schleicher ASW 28,Human Error,VMC,Unknown,Substantial,1
Schleicher ASW 28 18E,Human Error,VMC,Unknown,Substantial,1
Schleicher ASW-12,General,VMC,Takeoff,Destroyed,1
Schleicher ASW-15,General,VMC,Approach,Substantial,1
Schleicher ASW-15,General,VMC,Takeoff,Substantial,1
Schleicher ASW-15,General,VMC,Unknown,Substantial,1
Schleicher ASW-15,Human Error,VMC,Unknown,Substantial,1
Schleicher ASW-19,General,VMC,Approach,Destroyed,1
Schleicher ASW-19,General,VMC,Cruise,Substantial,1
Piper PA-28-180R,General,VMC,Cruise,Substantial,1
Piper PA-28-180N,General,VMC,Landing,Substantial,1
Piper PA-28-180G,General,VMC,Cruise,Substantial,1
Schleicher ASW-19,General,VMC,Landing,Substantial,1
Piper PA-28-180F,General,UNK,Climb,Destroyed,1
Schleicher ASW-19,General,VMC,Maneuvering,Destroyed,1
Schleicher ASW-19,Human Error,VMC,Unknown,Substantial,1
Piper PA-28-180D,General,VMC,Landing,Substantial,1
Piper PA-28-180D,General,VMC,Go_around,Destroyed,1
Piper PA-28-180D,General,VMC,Cruise,Minor,1
Piper PA-28-180D,General,VMC,Approach,Substantial,1
Piper PA-28-180C,General,VMC,Takeoff,Substantial,1
Schleicher ASW-24,General,VMC,Cruise,Substantial,1
Schleicher ASW-24,Human Error,VMC,Unknown,Substantial,1
Schleicher ASW-24E,General,VMC,Approach,Substantial,1
Schleicher ASW-24E,General,VMC,Climb,Substantial,1
Schleicher K6-CR,General,VMC,Approach,Substantial,1
Schleicher K7,Unknown,UNK,Unknown,Substantial,1
Schleicher KA-6-CR,General,VMC,Approach,Substantial,1
Piper PA-28-180,General,VMC,Landing,Minor,1
Schleicher KA-8B,General,VMC,Approach,Substantial,1
Schleicher KA6-CR,General,VMC,Takeoff,Substantial,1
Schleicher KA6CR,General,VMC,Maneuvering,Substantial,1
Schleicher KA6E,General,VMC,Takeoff,Substantial,1
Schleicher Ka-6E,General,VMC,Takeoff,Unknown,1
Schleicher.Alexander K 7,Human Error,VMC,Unknown,Minor,1
Schleicher.Alexander.Gmbh ASH 26E,General,VMC,Descent,Substantial,1
Schlichtman STOL CH750,Other,VMC,Unknown,Minor,1
Schlitter RANS S-9,General,VMC,Cruise,Substantial,1
Schlitter RANS S6ES COYOTE II,General,VMC,Takeoff,Substantial,1
Schlitter Rans S-18 Stinger,General,VMC,Landing,Substantial,1
Schlitter.Randy.J RANS S6ES Coyote II,General,VMC,Maneuvering,Destroyed,1
Schmahl VOLKSPLANE VP-1,General,VMC,Maneuvering,Destroyed,1
Schmanski KITFOX III,General,VMC,Landing,Destroyed,1
Schmidt AIRSHARK II,General,VMC,Takeoff,Substantial,1
Schmidt JURCA-MJ55,General,VMC,Go_around,Substantial,1
Schmidt Questair Venture,General,VMC,Landing,Substantial,1
Schmidt RV7A,General,VMC,Landing,Substantial,1
Schmidt SEA REY,General,VMC,Landing,Substantial,1
Schleicher K-8B,General,VMC,Maneuvering,Substantial,1
Schleicher ASW28,General,VMC,Cruise,Substantial,1
Schleicher ASW27-18,General,VMC,Cruise,Substantial,1
Piper PA-28-180,General,VMC,Takeoff,Unknown,1
Schleicher ASW-24E,General,VMC,Takeoff,Destroyed,1
Piper PA-28-180,Human Error,VMC,Unknown,Destroyed,1
Piper PA-28-180,Human Error,UNK,Unknown,Substantial,1
Schleicher ASW-27,General,VMC,Landing,Substantial,1
Piper PA-28-180,Human Error,IMC,Unknown,Substantial,1
Schleicher ASW-27,General,VMC,Takeoff,Substantial,1
Piper PA-28-180,Human Error,IMC,Unknown,Destroyed,1
Schleicher ASW-27B,General,VMC,Approach,Substantial,1
Schleicher ASW-27B,General,VMC,Maneuvering,Destroyed,1
Schleicher ASW-27B,Human Error,VMC,Unknown,Substantial,1
Schleicher ASW-27b,General,VMC,Maneuvering,Substantial,1
Schleicher ASW27 - 18E,Human Error,VMC,Unknown,Destroyed,1
Schleicher ASW-28,Human Error,VMC,Unknown,Substantial,1
Schleicher ASW12,General,VMC,Approach,Destroyed,1
Schleicher ASW15,Human Error,VMC,Unknown,Substantial,1
Schleicher ASW15B,General,VMC,Approach,Substantial,1
Schleicher ASW19-B,General,VMC,Landing,Substantial,1
Schleicher ASW19b,General,VMC,Maneuvering,Substantial,1
Schleicher ASW20C,Human Error,VMC,Unknown,Substantial,1
Schleicher ASW22,Human Error,VMC,Unknown,Substantial,1
Schleicher ASW27,General,VMC,Approach,Minor,1
Schleicher ASW27,Unknown,UNK,Unknown,Destroyed,1
Schweizer 269B,General,VMC,Landing,Substantial,1
Schweizer 269B,General,VMC,Takeoff,Destroyed,1
Schweizer 269C,General,UNK,Cruise,Destroyed,1
Schweizer SGS 1-34,General,VMC,Approach,Destroyed,1
Schweizer SGS 1-34,General,VMC,Maneuvering,Destroyed,1
Schweizer SGS 1-34R,General,VMC,Maneuvering,Destroyed,1
Piper PA-28-151,General,UNK,Cruise,Destroyed,1
Schweizer SGS 1-34R,Human Error,VMC,Unknown,Substantial,1
Schweizer SGS 1-35,General,VMC,Approach,Substantial,1
Piper PA-28-151,General,UNK,Approach,Substantial,1
Piper PA-28-151,General,IMC,Takeoff,Destroyed,1
Piper PA-28-151,General,IMC,Maneuvering,Destroyed,1
Piper PA-28-151,General,IMC,Go_around,Destroyed,1
Piper PA-28-151,General,IMC,Descent,Substantial,1
Schweizer SGS 1-35,General,VMC,Takeoff,Destroyed,1
Schweizer SGS 1-35,Human Error,VMC,Unknown,Substantial,1
Schweizer SGS 1-35,Unknown,VMC,Unknown,Substantial,1
Piper PA-28-151,General,IMC,Climb,Destroyed,1
